t,semaforo_C11,semaforo_C12,semaforo_C13,semaforo_C21,semaforo_C22,semaforo_C23,semaforo_C31,semaforo_C32,semaforo_C33
230,0,0,2,0,0,0,0,0,2
231,1,0,2,0,0,0,1,0,2
232,1,0,2,0,0,0,1,0,2
233,1,0,2,0,0,0,1,0,2
234,2,0,2,0,0,0,2,0,2
235,2,0,2,0,0,0,2,0,2
236,2,0,2,0,0,0,2,0,2
237,2,1,2,0,0,0,2,0,2
238,2,1,2,0,0,0,2,0,2
239,2,1,2,0,0,0,2,0,2
240,2,2,3,0,0,0,2,0,3
241,2,2,3,1,1,0,2,1,3
242,2,2,3,1,1,0,2,1,3
243,2,2,0,1,1,0,2,1,0
244,3,2,0,2,2,0,3,2,0
245,3,2,0,2,2,0,3,2,0
246,3,2,0,2,2,0,3,2,0
247,0,2,0,2,2,0,0,2,0
248,0,2,0,2,2,0,0,2,0
249,0,2,0,2,2,0,0,2,0
250,0,3,0,2,2,0,0,2,0
251,0,3,0,2,2,0,0,2,0
252,0,3,0,2,2,0,0,2,0
253,0,0,0,2,2,0,0,2,0
254,0,0,0,3,3,0,0,3,0
255,0,0,0,3,3,0,0,3,0
256,0,0,0,3,3,0,0,3,0
257,0,0,0,0,0,0,0,0,0
258,0,0,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0,0,0
262,0,0,0,0,0,0,0,0,0
263,0,0,1,0,0,1,0,0,1
264,0,0,1,0,0,1,0,0,1
265,0,0,1,0,0,1,0,0,1
266,0,0,2,0,0,2,0,0,2
267,0,0,2,1,0,2,0,0,2
268,0,0,2,1,0,2,0,0,2
269,0,0,2,1,0,2,0,0,2
270,0,0,2,2,0,2,0,0,2
271,0,0,2,2,0,2,0,0,2
272,0,0,2,2,0,2,0,0,2
273,0,1,2,2,0,2,0,0,2
274,0,1,2,2,0,2,0,0,2
275,0,1,2,2,0,2,0,0,2
276,0,2,3,2,0,3,0,0,3
277,1,2,3,2,1,3,1,1,3
278,1,2,3,2,1,3,1,1,3
279,1,2,0,2,1,0,1,1,0
280,2,2,0,3,2,0,2,2,0
281,2,2,0,3,2,0,2,2,0
282,2,2,0,3,2,0,2,2,0
283,2,2,0,0,2,0,2,2,0
284,2,2,0,0,2,0,2,2,0
285,2,2,0,0,2,0,2,2,0
286,2,3,0,0,2,0,2,2,0
287,2,3,0,0,2,0,2,2,0
288,2,3,0,0,2,0,2,2,0
289,2,0,1,0,2,1,2,2,1
290,3,0,1,0,3,1,3,3,1
291,3,0,1,0,3,1,3,3,1
292,3,0,2,0,3,2,3,3,2
293,0,0,2,1,0,2,0,0,2
294,0,0,2,1,0,2,0,0,2
295,0,0,2,1,0,2,0,0,2
296,0,0,2,2,0,2,0,0,2
297,0,0,2,2,0,2,0,0,2
298,0,0,2,2,0,2,0,0,2
299,0,0,2,2,0,2,0,0,2
300,0,0,2,2,0,2,0,0,2
301,0,0,2,2,0,2,0,0,2
302,0,0,3,2,0,3,0,0,3
303,1,0,3,2,0,3,1,0,3
304,1,0,3,2,0,3,1,0,3
305,1,0,0,2,0,0,1,0,0
306,2,0,0,3,0,0,2,0,0
307,2,0,0,3,0,0,2,0,0
308,2,0,0,3,0,0,2,0,0
309,2,1,0,0,0,0,2,0,0
310,2,1,0,0,0,0,2,0,0
311,2,1,0,0,0,0,2,0,0
312,2,2,0,0,0,0,2,0,0
313,2,2,0,0,1,0,2,0,0
314,2,2,0,0,1,0,2,0,0
315,2,2,0,0,1,0,2,0,0
316,3,2,0,0,2,0,3,0,0
317,3,2,0,0,2,0,3,0,0
318,3,2,0,0,2,0,3,1,0
319,0,2,0,1,2,0,0,1,0
320,0,2,0,1,2,0,0,1,1
321,0,2,0,1,2,0,0,2,1
322,0,3,0,2,2,0,0,2,1
323,0,3,0,2,2,0,0,2,2
324,0,3,0,2,2,0,0,2,2
325,0,0,1,2,2,1,0,2,2
326,0,0,1,2,3,1,0,2,2
327,0,0,1,2,3,1,0,2,2
328,0,0,2,2,3,2,0,2,2
329,0,0,2,2,0,2,1,2,2
330,0,0,2,2,0,2,1,2,2
331,0,0,2,2,0,2,1,3,2
332,0,0,2,3,0,2,2,3,2
333,0,0,2,3,0,2,2,3,3
334,0,0,2,3,0,2,2,0,3
335,0,1,2,0,0,2,2,0,3
336,0,1,2,0,0,2,2,0,0
337,0,1,2,0,0,2,2,0,0
338,0,2,3,0,0,3,2,0,0
339,1,2,3,0,0,3,2,0,0
340,1,2,3,0,0,3,2,0,0
341,1,2,0,0,0,0,2,0,0
342,2,2,0,0,0,0,3,0,0
343,2,2,0,0,0,0,3,0,0
344,2,2,0,0,0,0,3,1,0
345,2,2,0,1,0,0,0,1,0
346,2,2,0,1,0,0,0,1,1
347,2,2,0,1,0,0,0,2,1
348,2,3,0,2,0,0,0,2,1
349,2,3,0,2,1,0,0,2,2
350,2,3,0,2,1,0,0,2,2
351,2,0,1,2,1,1,0,2,2
352,3,0,1,2,2,1,0,2,2
353,3,0,1,2,2,1,0,2,2
354,3,0,2,2,2,2,0,2,2
355,0,0,2,2,2,2,1,2,2
356,0,0,2,2,2,2,1,2,2
357,0,0,2,2,2,2,1,3,2
358,0,0,2,3,2,2,2,3,2
359,0,0,2,3,2,2,2,3,3
360,0,0,2,3,2,2,2,0,3
361,0,0,2,0,2,2,2,0,3
362,0,0,2,0,3,2,2,0,0
363,0,0,2,0,3,2,2,0,0
364,0,0,3,0,3,3,2,0,0
365,0,0,3,0,0,3,2,0,0
366,0,0,3,0,0,3,2,0,0
367,0,0,0,0,0,0,2,0,0
368,0,0,0,0,0,0,3,0,0
369,0,0,0,0,0,0,3,0,0
370,1,0,0,0,0,0,3,0,0
371,1,0,0,1,0,0,0,0,0
372,1,0,0,1,0,0,0,0,0
373,2,0,0,1,0,0,0,0,0
374,2,0,0,2,0,0,0,0,0
375,2,0,0,2,0,0,0,0,0
376,2,0,0,2,0,0,0,0,0
377,2,0,0,2,0,0,0,0,0
378,2,0,0,2,0,0,0,0,0
379,2,0,0,2,0,0,0,0,0
380,2,0,0,2,1,0,0,0,0
381,2,1,0,2,1,0,1,0,0
382,2,1,1,2,1,1,1,0,1
383,3,1,1,2,2,1,1,0,1
384,3,2,1,3,2,1,2,0,1
385,3,2,2,3,2,2,2,1,2
386,0,2,2,3,2,2,2,1,2
387,0,2,2,0,2,2,2,1,2
388,0,2,2,0,2,2,2,2,2
389,0,2,2,0,2,2,2,2,2
390,0,2,2,0,2,2,2,2,2
391,0,2,2,0,2,2,2,2,2
392,0,2,2,0,2,2,2,2,2
393,0,2,2,0,3,2,2,2,2
394,0,3,2,0,3,2,3,2,2
395,0,3,2,0,3,3,3,2,3
396,0,3,2,0,0,3,3,2,3
397,0,0,2,0,0,3,0,2,3
398,0,0,2,0,0,0,0,3,0
399,0,0,2,0,0,0,0,3,0
400,0,0,3,0,0,0,0,3,0
401,0,0,3,0,0,0,0,0,0
402,0,0,3,0,0,0,0,0,0
403,0,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0,0
405,0,0,0,0,0,0,0,0,0
406,0,0,0,0,0,0,0,0,0
407,0,0,0,1,0,0,1,0,0
408,0,0,0,1,0,0,1,0,1
409,0,0,0,1,0,0,1,0,1
410,0,0,0,2,0,0,2,0,1
411,0,0,0,2,0,0,2,1,2
412,0,0,0,2,0,0,2,1,2
413,0,0,0,2,0,0,2,1,2
