t,semaforo_C11,semaforo_C12,semaforo_C13,semaforo_C21,semaforo_C22,semaforo_C23,semaforo_C31,semaforo_C32,semaforo_C33
241,2,2,0,1,1,0,0,2,0
242,3,3,0,2,2,0,0,3,0
243,3,3,0,2,2,0,0,3,0
244,3,3,0,2,2,0,0,3,0
245,0,0,0,2,2,0,0,0,0
246,0,0,0,2,2,0,0,0,0
247,0,0,0,2,2,0,0,0,0
248,0,0,0,2,2,0,0,0,0
249,0,0,0,2,2,0,0,0,0
250,0,0,1,2,2,0,1,0,1
251,0,0,1,2,2,0,1,0,1
252,0,0,1,3,3,0,1,0,1
253,0,0,2,3,3,0,2,0,2
254,0,0,2,3,3,0,2,0,2
255,1,1,2,0,0,0,2,1,2
256,1,1,2,0,0,0,2,1,2
257,1,1,2,0,0,0,2,1,2
258,2,2,2,0,0,0,2,2,2
259,2,2,2,0,0,0,2,2,2
260,2,2,2,0,0,0,2,2,2
261,2,2,2,0,0,0,2,2,2
262,2,2,2,0,0,1,2,2,2
263,2,2,3,0,0,1,3,2,3
264,2,2,3,0,0,1,3,2,3
265,2,2,3,1,1,2,3,2,3
266,2,2,0,1,1,2,0,2,0
267,2,2,0,1,1,2,0,2,0
268,3,3,0,2,2,2,0,3,0
269,3,3,0,2,2,2,0,3,0
270,3,3,0,2,2,2,0,3,0
271,0,0,0,2,2,2,0,0,0
272,0,0,0,2,2,2,0,0,0
273,0,0,0,2,2,2,0,0,0
274,0,0,0,2,2,2,0,0,0
275,0,0,0,2,2,3,0,0,0
276,0,0,0,2,2,3,1,0,1
277,0,0,0,2,2,3,1,0,1
278,0,0,0,3,3,0,1,0,1
279,0,0,0,3,3,0,2,0,2
280,0,0,0,3,3,0,2,0,2
281,1,1,1,0,0,0,2,1,2
282,1,1,1,0,0,0,2,1,2
283,1,1,1,0,0,0,2,1,2
284,2,2,2,0,0,0,2,2,2
285,2,2,2,0,0,0,2,2,2
286,2,2,2,0,0,0,2,2,2
287,2,2,2,0,0,0,2,2,2
288,2,2,2,0,0,0,2,2,2
289,2,2,2,0,0,0,3,2,3
290,2,2,2,0,0,0,3,2,3
291,2,2,2,1,1,0,3,2,3
292,2,2,2,1,1,0,0,2,0
293,2,2,2,1,1,0,0,2,0
294,3,3,3,2,2,0,0,3,0
295,3,3,3,2,2,0,0,3,0
296,3,3,3,2,2,0,0,3,0
297,0,0,0,2,2,0,0,0,0
298,0,0,0,2,2,0,0,0,0
299,0,0,0,2,2,0,0,0,0
300,0,0,0,2,2,0,0,0,0
301,0,0,0,2,2,0,0,0,0
302,0,0,0,2,2,0,1,0,1
303,0,0,0,2,2,1,1,0,1
304,0,0,0,3,3,1,1,0,1
305,0,0,0,3,3,1,2,0,2
306,0,0,0,3,3,2,2,0,2
307,1,1,1,0,0,2,2,1,2
308,1,1,1,0,0,2,2,1,2
309,1,1,1,0,0,2,2,1,2
310,2,2,2,0,0,2,2,2,2
311,2,2,2,0,0,2,2,2,2
312,2,2,2,0,0,2,2,2,2
313,2,2,2,0,0,2,2,2,2
314,2,2,2,0,0,2,2,2,2
315,2,2,2,0,0,2,3,2,3
316,2,2,2,0,0,3,3,2,3
317,2,2,2,1,1,3,3,2,3
318,2,2,2,1,1,3,0,2,0
319,2,2,2,1,1,0,0,2,0
320,3,3,3,2,2,0,0,3,0
321,3,3,3,2,2,0,0,3,0
322,3,3,3,2,2,0,0,3,0
323,0,0,0,2,2,0,0,0,0
324,0,0,0,2,2,0,0,0,0
