t,semaforo_C11,semaforo_C12,semaforo_C13,semaforo_C21,semaforo_C22,semaforo_C23,semaforo_C31,semaforo_C32,semaforo_C33
230,2,2,2,2,2,2,2,2,2
231,2,2,2,2,2,2,2,2,2
232,3,3,3,3,3,3,3,3,3
233,3,3,3,3,3,3,3,3,3
234,3,3,3,3,3,3,3,3,3
235,0,0,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0,0
245,1,1,1,1,1,1,1,1,1
246,1,1,1,1,1,1,1,1,1
247,1,1,1,1,1,1,1,1,1
248,2,2,2,2,2,2,2,2,2
249,2,2,2,2,2,2,2,2,2
250,2,2,2,2,2,2,2,2,2
251,2,2,2,2,2,2,2,2,2
252,2,2,2,2,2,2,2,2,2
253,2,2,2,2,2,2,2,2,2
254,2,2,2,2,2,2,2,2,2
255,2,2,2,2,2,2,2,2,2
256,2,2,2,2,2,2,2,2,2
257,2,2,2,2,2,2,2,2,2
258,3,3,3,3,3,3,3,3,3
259,3,3,3,3,3,3,3,3,3
260,3,3,3,3,3,3,3,3,3
261,0,0,0,0,0,0,0,0,0
262,0,0,0,0,0,0,0,0,0
263,0,0,0,0,0,0,0,0,0
264,0,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0,0
266,0,0,0,0,0,0,0,0,0
267,0,0,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0,0
271,1,1,1,1,1,1,1,1,1
272,1,1,1,1,1,1,1,1,1
273,1,1,1,1,1,1,1,1,1
274,2,2,2,2,2,2,2,2,2
275,2,2,2,2,2,2,2,2,2
276,2,2,2,2,2,2,2,2,2
277,2,2,2,2,2,2,2,2,2
278,2,2,2,2,2,2,2,2,2
279,2,2,2,2,2,2,2,2,2
280,2,2,2,2,2,2,2,2,2
281,2,2,2,2,2,2,2,2,2
282,2,2,2,2,2,2,2,2,2
283,2,2,2,2,2,2,2,2,2
284,3,3,3,3,3,3,3,3,3
285,3,3,3,3,3,3,3,3,3
286,3,3,3,3,3,3,3,3,3
287,0,0,0,0,0,0,0,0,0
288,0,0,0,0,0,0,0,0,0
289,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0,0,0
292,0,0,0,0,0,0,0,0,0
293,0,0,0,0,0,0,0,0,0
294,0,0,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0,0,0
296,0,0,0,0,0,0,0,0,0
297,1,1,1,1,1,1,1,1,1
298,1,1,1,1,1,1,1,1,1
299,1,1,1,1,1,1,1,1,1
300,2,2,2,2,2,2,2,2,2
301,2,2,2,2,2,2,2,2,2
302,2,2,2,2,2,2,2,2,2
303,2,2,2,2,2,2,2,2,2
