verde,izquierda,verde_transversal,offsets,timeloss_prom,espera_prom,paradas_prom,throughput,co2_prom,timeloss_sd,semillas
15,,20,0/15/0,34.62,16.18,1.01,2502.67,275.9,3.37,2001-2003
30,,20,0/23/0,34.62,14.78,1.03,2505.67,277.07,4.47,2001-2003
20,,10,0/5/5,34.68,13.48,1.42,2502.0,283.8,3.12,2001-2003
35,,15,0/5/0,34.71,15.72,1.13,2507.33,277.3,3.21,2001-2003
20,,10,0/30/30,34.76,14.24,1.38,2501.0,282.57,3.03,2001-2003
25,,10,0/25/25,34.81,15.8,1.17,2503.67,276.87,3.69,2001-2003
25,,10,0/35/0,34.85,15.56,1.27,2501.33,278.57,2.97,2001-2003
35,,15,0/35/14,34.85,15.63,1.12,2504.33,276.77,3.13,2001-2003
30,,15,0/23/23,34.9,16.27,1.07,2503.67,276.3,3.32,2001-2003
30,,20,0/20/0,34.9,14.91,1.08,2503.33,278.13,3.76,2001-2003
20,,15,0/15/15,34.91,15.1,1.25,2503.67,280.47,3.19,2001-2003
25,,10,0/5/10,35.01,14.72,1.31,2505.0,281.0,3.44,2001-2003
30,,15,0/35/19,35.01,15.52,1.21,2506.67,278.17,3.37,2001-2003
20,,10,0/5/10,35.03,13.93,1.35,2506.0,283.8,4.25,2001-2003
35,,15,0/15/0,35.04,15.33,1.13,2503.33,279.0,2.68,2001-2003
30,,20,0/23/46,35.11,14.95,1.07,2503.33,277.7,3.31,2001-2003
15,,20,0/20/40,35.13,16.37,1.03,2503.33,275.67,3.65,2001-2003
35,,10,0/5/10,35.15,16.67,1.12,2508.33,276.33,3.49,2001-2003
35,,10,0/40/0,35.16,16.38,1.09,2505.67,276.9,2.13,2001-2003
35,,10,0/40/40,35.18,16.5,1.15,2506.33,277.37,2.25,2001-2003
35,,20,0/30/60,35.21,14.17,1.0,2499.67,282.17,4.06,2001-2003
15,,20,0/25/0,35.27,16.15,1.04,2502.67,276.97,4.44,2001-2003
35,,20,0/25/50,35.27,15.22,1.1,2499.33,278.7,3.92,2001-2003
20,,15,0/23/23,35.29,15.57,1.26,2502.33,279.37,2.96,2001-2003
20,,15,0/20/20,35.34,15.66,1.26,2505.67,279.57,3.35,2001-2003
25,,20,0/15/0,35.34,15.33,1.09,2506.67,279.1,2.4,2001-2003
35,,10,0/35/19,35.34,16.49,1.16,2503.0,277.4,2.87,2001-2003
25,,10,0/35/35,35.36,15.5,1.34,2503.67,281.2,3.95,2001-2003
35,,10,0/10/0,35.36,16.21,1.08,2508.0,277.83,3.19,2001-2003
30,,20,0/20/40,35.41,15.33,1.16,2499.67,278.4,3.63,2001-2003
35,,20,0/35/0,35.46,15.78,1.06,2500.0,278.73,2.84,2001-2003
20,,15,0/10/20,35.51,14.91,1.27,2506.33,282.6,3.5,2001-2003
25,,15,0/23/23,35.51,16.41,1.17,2505.0,278.27,3.73,2001-2003
15,,15,0/10/20,35.53,15.88,1.19,2508.33,281.5,2.81,2001-2003
35,,20,0/30/0,35.54,14.47,1.02,2499.0,282.57,2.37,2001-2003
30,,10,0/5/5,35.56,16.16,1.14,2497.0,278.13,3.81,2001-2003
35,,15,0/5/5,35.69,16.59,1.15,2505.67,278.4,3.32,2001-2003
35,,20,0/23/23,35.69,16.89,1.07,2499.0,277.3,3.49,2001-2003
30,,10,0/35/24,35.72,16.17,1.27,2504.0,279.4,3.66,2001-2003
35,,10,0/10/10,35.75,16.85,1.13,2509.0,277.63,3.0,2001-2003
20,,20,0/15/30,35.77,15.39,1.15,2505.67,281.87,3.4,2001-2003
25,,15,0/20/20,35.77,16.44,1.2,2503.67,279.8,2.51,2001-2003
30,,10,0/10/20,35.77,15.82,1.28,2501.33,280.23,3.54,2001-2003
30,,10,0/40/34,35.78,16.2,1.32,2503.33,281.6,3.14,2001-2003
15,,15,0/5/0,35.79,14.11,1.42,2502.33,286.93,2.74,2001-2003
30,,15,0/10/0,35.8,15.67,1.16,2507.0,280.8,3.51,2001-2003
15,,15,0/10/10,35.81,15.17,1.39,2504.0,283.9,2.62,2001-2003
25,,15,0/35/24,35.82,15.34,1.35,2505.33,282.43,3.47,2001-2003
15,,15,0/35/35,35.83,13.95,1.6,2500.0,287.33,2.56,2001-2003
30,,10,0/35/35,35.84,16.62,1.25,2505.33,278.83,3.68,2001-2003
35,,15,0/20/20,35.84,17.08,1.11,2501.33,276.73,3.04,2001-2003
15,,15,0/30/24,35.89,14.53,1.34,2500.33,286.6,2.78,2001-2003
35,,15,0/35/35,35.96,17.24,1.13,2504.33,277.6,4.26,2001-2003
35,,15,0/40/0,35.96,16.68,1.1,2506.33,278.33,2.75,2001-2003
