modo,episodio,semilla,epsilon,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,decisiones,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,estados_q,dq_max,eval_timeloss,eval_espera,val_999,val_1999,segundos,val,ret_retraso,ret_colas,ret_spill,algoritmo,base,recompensa_u2,no_terminados,spillback_tasa,spillback_seg,cola_max_enlace
train,191,233,0.01,3620,89.85,172.0,60.44,163,retraso,-35.537,1954,353,5.142,2807,458.1,162.8,863,55.5216,,,,,14.4,,-672857.0,-386459.7,-680279.0,qlearning,42,-76973.9,0,0.005,18,38
train,192,234,0.01,3620,85.1,164.63,57.11,152,retraso,-33.293,1951,369,5.085,2840,448.7,158.9,863,38.877,,,,,14.3,,-640211.6,-362892.8,-647765.6,qlearning,42,-72312.5,0,0.0094,34,37
train,193,235,0.01,3620,92.67,172.17,63.26,157,retraso,-37.049,1924,350,5.111,2834,460.6,163.7,864,63.616,,,,,14.4,,-673745.9,-396780.7,-681915.9,qlearning,42,-79063.0,0,0.0025,28,38
train,194,236,0.01,3620,77.46,165.22,50.89,142,retraso,-29.766,1966,425,5.314,2798,446.3,157.4,864,74.6514,,,,,14.8,,-638728.8,-332180.4,-646168.8,qlearning,42,-66140.2,0,0.0078,44,38
train,195,237,0.01,3620,70.06,157.01,47.03,148,retraso,-26.516,1919,429,5.321,2838,434.2,152.5,864,42.0707,,,,,14.0,,-593896.7,-290528.7,-601302.7,qlearning,42,-57699.7,0,0.0044,26,36
train,196,238,0.01,3620,91.13,177.63,60.64,174,retraso,-35.954,1945,406,5.45,2780,467.6,166.1,864,90.2886,,,,,15.0,,-696147.8,-394708.6,-709563.8,qlearning,42,-78668.4,0,0.0161,96,38
train,197,239,0.01,3620,73.23,160.07,49.64,184,retraso,-28.289,1892,439,5.463,2830,439.5,154.7,864,66.76,,,,,14.2,,-609914.6,-306827.6,-618714.6,qlearning,42,-60990.4,0,0.0081,51,38
train,198,240,0.01,3620,77.93,164.65,51.72,151,retraso,-29.713,1945,422,5.312,2818,446.0,157.3,864,55.7817,,,,,14.5,,-630606.5,-328109.3,-639696.5,qlearning,42,-65309.7,0,0.0,49,38
train,199,241,0.01,3620,81.69,167.51,53.3,160,retraso,-30.76,2007,380,5.281,2820,450.7,159.3,864,61.216,,,,,14.6,,-645297.5,-345353.9,-654433.5,qlearning,42,-68716.9,0,0.0011,18,38
train,200,242,0.01,3620,94.67,177.22,59.68,158,retraso,-35.535,2064,411,5.119,2826,467.7,166.1,864,80.9343,165.88,84.91,165.88,175.46,14.9,170.67,-700392.4,-411981.7,-711976.4,qlearning,42,-82086.0,0,0.0061,30,38
