variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,epsilon,perdida_q,q_medio,actualizaciones,transiciones,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
vecinos,2042,27,2069,5.00e-04,17.0,3620,65.64,170.45,40.05,116,-52143.4,-21.745,-62.67,2016,1370,642,6.66,2774,448.4,157.0,49,0.0,0,0,31,37,349.5,267.85,310.34,10.461,0.038,0,0.0,0.753,0.16251,-21.5387,53196,54195,,,-631710.16,-262958.43,-632982.16,,,,dqn,retraso
vecinos,2042,28,2070,5.00e-04,17.9,3588,80.61,191.34,48.63,129,-64196.9,-26.771,-69.845,2033,1413,614,7.339,2686,479.1,168.9,65,0.0094,34,3,38,38,370.26,288.89,339.41,11.092,0.036,0,0.0,0.7435,0.15922,-21.7151,55229,56228,,,-709976.99,-322927.79,-716752.99,,,,dqn,retraso
vecinos,2042,29,2071,5.00e-04,16.9,3620,64.62,163.21,39.54,121,-51769.6,-21.643,-59.887,2025,1402,616,6.265,2814,440.0,154.1,0,0.0,0,0,32,38,324.92,242.11,279.27,9.469,0.055,0,0.0,0.734,0.15992,-21.9246,57254,58253,,,-606360.66,-260657.88,-608512.66,,,,dqn,retraso
vecinos,2042,30,2072,5.00e-04,17.0,3620,64.4,170.31,39.3,109,-50837.4,-21.2,-62.071,2023,1388,631,6.86,2806,449.4,157.3,27,0.0,0,0,27,37,336.66,254.08,297.26,10.294,0.074,0,0.0,0.7245,0.16003,-21.9434,59277,60276,174.84,96.08,-627844.63,-255567.57,-629074.63,174.84,176.09,175.465,dqn,retraso
vecinos,2042,31,2073,5.00e-04,17.4,3620,65.71,173.17,40.08,113,-51887.6,-21.638,-63.183,2024,1391,630,7.027,2779,453.9,159.1,32,0.0,0,0,25,37,337.76,255.35,288.33,10.406,0.076,0,0.0,0.715,0.16369,-22.0693,61301,62300,,,-639409.55,-261181.58,-640051.55,,,,dqn,retraso
vecinos,2042,32,2074,5.00e-04,17.4,3620,71.3,181.14,43.45,123,-56750.5,-23.666,-66.279,2028,1400,622,7.119,2768,464.7,163.1,42,0.0,0,0,33,37,349.84,267.77,314.58,10.534,0.049,0,0.0,0.7055,0.16537,-22.2091,63329,64328,,,-672065.79,-285556.04,-675229.79,,,,dqn,retraso
vecinos,2042,33,2075,5.00e-04,17.4,3620,71.41,176.19,43.51,127,-57267.4,-23.881,-64.595,2033,1413,614,6.775,2742,457.5,160.6,59,0.0014,5,1,35,38,348.6,267.15,318.53,10.308,0.045,0,0.0,0.696,0.16708,-22.2211,65362,66361,,,-656612.21,-288023.97,-660750.21,,,,dqn,retraso
vecinos,2042,34,2076,5.00e-04,17.1,3620,62.03,169.8,37.86,100,-48891.6,-20.388,-62.033,2018,1375,639,6.8,2783,448.3,156.6,22,0.0,0,0,31,37,336.94,254.25,302.37,10.276,0.084,0,0.0,0.6865,0.16627,-22.2193,67380,68379,,,-625915.23,-246360.72,-626959.23,,,,dqn,retraso
vecinos,2042,35,2077,5.00e-04,17.2,3608,74.36,175.74,45.15,123,-59939.7,-24.996,-64.488,2037,1422,607,6.597,2714,455.8,160.6,70,0.0019,13,2,35,37,347.76,266.81,316.77,9.908,0.07,0,0.0,0.677,0.16182,-22.1714,69417,70416,,,-656814.09,-301503.27,-664232.09,,,,dqn,retraso
vecinos,2042,36,2078,5.00e-04,16.9,3620,63.51,163.93,38.75,111,-50492.8,-21.056,-59.904,2026,1394,626,6.485,2799,442.3,154.7,8,0.0,0,0,28,37,338.0,255.19,295.63,10.114,0.049,0,0.0,0.6675,0.16348,-22.0877,71443,72442,,,-606827.67,-254051.28,-608341.67,,,,dqn,retraso
