variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,epsilon,perdida_q,q_medio,actualizaciones,transiciones,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
vecinos,42,127,169,5.00e-04,30.6,4350,9.15,25.33,11.43,34,-8784.9,-1.296,-3.437,5639,3703,1919,1.123,4202,295.5,102.5,0,0.0,0,0,4,8,126.55,20.84,20.17,0.835,0.836,0,0.0,0.05,0.00191,-1.3498,709460,710459,,,-96895.15,-45720.12,-96895.15,,,,dqn,retraso
vecinos,42,128,170,5.00e-04,30.4,4350,9.21,25.37,11.51,34,-8790.4,-1.299,-3.46,5674,3814,1841,1.113,4205,295.2,102.5,0,0.0,0,0,4,7,126.16,20.38,20.16,0.809,0.853,0,0.0,0.05,0.00176,-1.3478,715134,716133,,,-98148.26,-46098.64,-98148.26,,,,dqn,retraso
vecinos,42,129,171,5.00e-04,30.8,4350,9.15,25.36,11.36,32,-8733.8,-1.28,-3.423,5710,3828,1863,1.105,4201,295.1,102.4,0,0.0,0,0,4,8,126.29,20.74,20.88,0.816,0.826,0,0.0,0.05,0.00188,-1.3475,720844,721843,,,-97718.04,-45802.16,-97718.04,,,,dqn,retraso
vecinos,42,130,172,5.00e-04,30.5,4350,8.99,24.86,11.18,32,-8625.8,-1.268,-3.356,5739,3928,1792,1.046,4202,293.6,101.9,0,0.0,0,0,4,8,124.2,18.97,18.69,0.729,0.861,0,0.0,0.05,0.00178,-1.345,726583,727582,23.91,8.63,-96304.89,-45143.77,-96304.89,23.91,23.76,23.835,dqn,retraso
vecinos,42,131,173,5.00e-04,30.7,4350,8.83,24.72,11.12,31,-8492.6,-1.262,-3.402,5629,3753,1859,1.054,4197,293.6,101.9,0,0.0,0,0,3,7,124.57,19.41,19.18,0.729,0.881,0,0.0,0.05,0.00182,-1.3392,732212,733211,,,-95742.64,-44358.21,-95742.64,,,,dqn,retraso
vecinos,42,132,174,5.00e-04,30.4,4350,9.08,24.8,11.35,35,-8768.4,-1.297,-3.366,5689,3876,1796,1.046,4207,293.0,101.8,0,0.0,0,0,4,7,125.26,19.72,19.37,0.754,0.88,0,0.0,0.05,0.00188,-1.3244,737901,738900,,,-95742.64,-45500.75,-95742.64,,,,dqn,retraso
vecinos,42,133,175,5.00e-04,30.3,4350,9.07,25.26,11.41,30,-8640.9,-1.282,-3.479,5602,3675,1909,1.105,4210,295.0,102.4,0,0.0,0,0,4,8,126.43,21.09,21.06,0.856,0.809,0,0.0,0.05,0.00196,-1.3289,743503,744502,,,-97446.89,-45413.76,-97446.89,,,,dqn,retraso
vecinos,42,134,176,5.00e-04,30.7,4350,9.16,25.21,11.34,32,-8772.1,-1.288,-3.403,5745,3924,1803,1.086,4201,294.4,102.2,0,0.0,0,0,4,7,126.64,21.03,20.94,0.842,0.829,0,0.0,0.05,0.00184,-1.3316,749248,750247,,,-97754.86,-45823.9,-97754.86,,,,dqn,retraso
vecinos,42,135,177,5.00e-04,30.5,4350,9.17,25.07,11.47,34,-8843.7,-1.308,-3.444,5652,3766,1867,1.08,4199,293.8,102.0,0,0.0,0,0,3,8,125.35,19.57,19.47,0.724,0.882,0,0.0,0.05,0.0019,-1.316,754900,755899,,,-97340.48,-45887.28,-97340.48,,,,dqn,retraso
vecinos,42,136,178,5.00e-04,30.4,4350,9.12,25.17,11.42,33,-8706.2,-1.29,-3.429,5645,3773,1855,1.093,4202,294.4,102.2,0,0.0,0,0,4,8,127.0,21.33,20.91,0.86,0.827,0,0.0,0.05,0.00186,-1.3066,760545,761544,,,-96786.04,-45576.91,-96786.04,,,,dqn,retraso
vecinos,42,137,179,5.00e-04,30.8,4350,9.48,25.68,11.84,32,-9039.5,-1.343,-3.509,5633,3776,1841,1.115,4201,295.7,102.6,0,0.0,0,0,4,8,127.25,21.4,21.56,0.818,0.847,0,0.0,0.05,0.00185,-1.3024,766178,767177,,,-98819.04,-47165.36,-98819.04,,,,dqn,retraso
vecinos,42,138,180,5.00e-04,30.4,4350,9.32,25.31,11.64,32,-8893.8,-1.318,-3.449,5693,3901,1772,1.084,4197,294.2,102.2,0,0.0,0,0,3,8,126.12,20.13,19.89,0.753,0.886,0,0.0,0.05,0.00177,-1.2909,771871,772870,,,-98187.13,-46560.01,-98187.13,,,,dqn,retraso
vecinos,42,139,181,5.00e-04,30.5,4350,8.97,24.9,11.21,31,-8576.8,-1.269,-3.381,5677,3839,1822,1.073,4205,293.9,102.1,0,0.0,0,0,3,7,124.9,19.44,19.07,0.782,0.844,0,0.0,0.05,0.00182,-1.2894,777548,778547,,,-95965.96,-44936.04,-95965.96,,,,dqn,retraso
vecinos,42,140,182,5.00e-04,30.4,4350,9.26,25.2,11.58,32,-8912.5,-1.319,-3.405,5695,3889,1791,1.081,4203,294.0,102.1,0,0.0,0,0,4,8,126.04,20.42,20.52,0.809,0.847,0,0.0,0.05,0.00175,-1.2985,783243,784242,24.45,8.77,-96951.64,-46386.37,-96951.64,24.45,24.19,24.32,dqn,retraso
vecinos,42,141,183,5.00e-04,30.8,4350,9.23,25.25,11.57,37,-8826.8,-1.306,-3.441,5686,3856,1811,1.096,4208,294.3,102.2,0,0.0,0,0,3,7,126.33,20.56,20.62,0.804,0.845,0,0.0,0.05,0.00171,-1.3023,788929,789928,,,-97839.0,-46299.01,-97839.0,,,,dqn,retraso
vecinos,42,142,184,5.00e-04,31.0,4350,9.04,25.09,11.29,33,-8646.9,-1.276,-3.405,5661,3766,1878,1.094,4204,294.1,102.1,0,0.0,0,0,3,8,125.47,20.35,20.2,0.802,0.851,0,0.0,0.05,0.0018,-1.2953,794590,795589,,,-96381.19,-45217.44,-96381.19,,,,dqn,retraso
vecinos,42,143,185,5.00e-04,31.1,4350,9.0,25.01,11.25,30,-8618.7,-1.27,-3.392,5698,3853,1825,1.081,4203,294.1,102.1,0,0.0,0,0,4,8,125.02,19.49,19.73,0.758,0.878,0,0.0,0.05,0.00179,-1.2967,800288,801287,,,-96636.07,-45171.38,-96636.07,,,,dqn,retraso
vecinos,42,144,186,5.00e-04,30.9,4350,9.29,25.69,11.53,35,-8879.6,-1.305,-3.476,5674,3755,1900,1.158,4196,296.3,102.8,0,0.0,0,0,4,8,126.31,20.87,20.44,0.84,0.832,0,0.0,0.05,0.00184,-1.2992,805962,806961,,,-98612.92,-46262.22,-98612.92,,,,dqn,retraso
vecinos,42,145,187,5.00e-04,30.3,4350,8.72,24.62,10.99,31,-8340.6,-1.236,-3.365,5668,3825,1828,1.057,4200,293.2,101.8,0,0.0,0,0,4,8,125.16,19.65,19.57,0.753,0.88,0,0.0,0.05,0.00187,-1.3114,811630,812629,,,-95376.51,-43875.47,-95376.51,,,,dqn,retraso
vecinos,42,146,188,5.00e-04,30.4,4350,9.23,25.01,11.51,33,-8862.3,-1.308,-3.392,5726,3939,1770,1.06,4204,293.1,101.9,0,0.0,0,0,4,7,125.27,19.74,19.64,0.761,0.865,0,0.0,0.05,0.00179,-1.3176,817356,818355,,,-97118.94,-46303.6,-97118.94,,,,dqn,retraso
vecinos,42,147,189,5.00e-04,30.5,4350,9.25,25.64,11.58,34,-8786.2,-1.307,-3.513,5593,3675,1901,1.151,4205,296.0,102.7,0,0.0,0,0,4,8,125.87,21.01,21.43,0.873,0.833,0,0.0,0.05,0.0019,-1.3137,822949,823948,,,-98244.0,-45924.66,-98244.0,,,,dqn,retraso
vecinos,42,148,190,5.00e-04,30.5,4350,9.25,25.41,11.56,32,-8875.4,-1.311,-3.473,5675,3812,1843,1.114,4201,295.2,102.5,0,0.0,0,0,4,8,126.09,20.9,21.26,0.834,0.838,0,0.0,0.05,0.00192,-1.3038,828624,829623,,,-98540.38,-46359.58,-98540.38,,,,dqn,retraso
vecinos,42,149,191,5.00e-04,30.6,4350,9.13,24.93,11.32,30,-8775.6,-1.288,-3.372,5770,3990,1757,1.051,4199,292.9,101.7,0,0.0,0,0,4,7,125.05,19.29,19.45,0.719,0.879,0,0.0,0.05,0.0018,-1.2953,834394,835393,,,-97288.93,-45811.97,-97288.93,,,,dqn,retraso
vecinos,42,150,192,5.00e-04,30.5,4350,9.03,24.86,11.26,35,-8701.8,-1.282,-3.367,5737,3945,1770,1.055,4203,293.4,101.9,0,0.0,0,0,3,8,125.72,20.19,20.48,0.753,0.88,0,0.0,0.05,0.00199,-1.2914,840131,841130,23.34,8.3,-96569.6,-45372.89,-96569.6,23.34,24.0,23.67,dqn,retraso
vecinos,42,151,193,5.00e-04,30.4,4350,9.31,25.59,11.59,38,-8847.8,-1.307,-3.481,5661,3781,1863,1.144,4203,295.6,102.6,0,0.0,0,0,4,8,126.02,20.79,20.72,0.839,0.84,0,0.0,0.05,0.00187,-1.3062,845792,846791,,,-98522.55,-46395.6,-98522.55,,,,dqn,retraso
vecinos,42,152,194,5.00e-04,31.2,4350,9.02,24.86,11.18,31,-8601.5,-1.261,-3.336,5765,3970,1778,1.05,4202,293.2,101.8,0,0.0,0,0,4,8,124.88,19.53,19.83,0.727,0.876,0,0.0,0.05,0.00187,-1.3254,851557,852556,,,-96158.82,-45249.77,-96158.82,,,,dqn,retraso
vecinos,42,153,195,5.00e-04,30.8,4350,9.07,25.02,11.13,32,-8697.8,-1.263,-3.356,5773,3892,1864,1.075,4204,294.0,102.1,0,0.0,0,0,3,8,125.24,19.61,19.51,0.741,0.88,0,0.0,0.05,0.00172,-1.3369,857330,858329,,,-96868.41,-45331.94,-96868.41,,,,dqn,retraso
vecinos,42,154,196,5.00e-04,30.6,4350,9.11,24.88,11.37,36,-8732.7,-1.289,-3.37,5727,3945,1765,1.046,4203,292.9,101.8,0,0.0,0,0,4,8,125.32,19.54,19.89,0.716,0.894,0,0.0,0.05,0.00167,-1.3261,863057,864056,,,-96508.02,-45714.0,-96508.02,,,,dqn,retraso
vecinos,42,155,197,5.00e-04,30.6,4350,8.86,24.35,11.06,30,-8445.3,-1.248,-3.288,5752,4022,1707,1.017,4201,291.5,101.3,0,0.0,0,0,4,8,124.7,19.34,19.27,0.746,0.866,0,0.0,0.05,0.00183,-1.3189,868809,869808,,,-94567.36,-44419.1,-94567.36,,,,dqn,retraso
vecinos,42,156,198,5.00e-04,30.5,4350,9.37,25.14,11.7,32,-8993.8,-1.336,-3.418,5718,3992,1709,1.062,4199,293.4,102.0,0,0.0,0,0,4,8,124.94,19.54,19.25,0.745,0.873,0,0.0,0.05,0.00173,-1.3211,874527,875526,,,-97733.44,-46860.79,-97733.44,,,,dqn,retraso
vecinos,42,157,199,5.00e-04,30.5,4350,9.09,24.91,11.24,28,-8696.5,-1.28,-3.349,5743,3952,1770,1.052,4209,293.1,101.8,0,0.0,0,0,4,8,124.98,19.6,19.65,0.734,0.881,0,0.0,0.05,0.00166,-1.3184,880270,881269,,,-96171.22,-45323.09,-96171.22,,,,dqn,retraso
vecinos,42,158,200,5.00e-04,30.8,4350,9.14,24.93,11.36,34,-8714.5,-1.289,-3.366,5728,3967,1739,1.055,4204,293.2,101.8,0,0.0,0,0,3,7,125.02,19.02,18.98,0.704,0.898,0,0.0,0.05,0.00174,-1.3169,885998,886997,,,-96390.45,-45615.79,-96390.45,,,,dqn,retraso
vecinos,42,159,201,5.00e-04,30.5,4350,9.32,25.21,11.64,32,-8951.4,-1.324,-3.431,5692,3886,1788,1.071,4206,293.9,102.1,0,0.0,0,0,4,9,125.75,20.24,20.17,0.756,0.879,0,0.0,0.05,0.00177,-1.3103,891690,892689,,,-97637.77,-46671.92,-97637.77,,,,dqn,retraso
vecinos,42,160,202,5.00e-04,30.3,4350,8.9,24.59,11.17,34,-8535.9,-1.266,-3.354,5717,3982,1719,1.025,4204,292.4,101.6,0,0.0,0,0,3,8,124.42,19.11,19.17,0.694,0.879,0,0.0,0.05,0.00183,-1.3062,897407,898406,24.7,9.15,-95866.99,-44699.64,-95866.99,24.7,24.06,24.38,dqn,retraso
vecinos,42,161,203,5.00e-04,30.2,4350,8.74,24.62,11.0,31,-8352.6,-1.241,-3.354,5657,3834,1807,1.053,4208,293.3,101.8,0,0.0,0,0,4,8,124.49,19.06,19.11,0.713,0.886,0,0.0,0.05,0.0016,-1.305,903064,904063,,,-94858.39,-43789.4,-94858.39,,,,dqn,retraso
vecinos,42,162,204,5.00e-04,30.5,4350,8.82,24.69,11.09,31,-8440.0,-1.252,-3.354,5681,3885,1776,1.051,4202,293.0,101.8,0,0.0,0,0,3,7,125.55,20.11,19.99,0.773,0.856,0,0.0,0.05,0.00167,-1.2923,908745,909744,,,-95279.92,-44202.17,-95279.92,,,,dqn,retraso
vecinos,42,163,205,5.00e-04,30.8,4350,9.38,25.49,11.63,31,-8960.3,-1.319,-3.443,5697,3833,1848,1.111,4199,295.2,102.5,0,0.0,0,0,3,7,126.69,21.06,20.71,0.814,0.835,0,0.0,0.05,0.00174,-1.2925,914442,915441,,,-98081.41,-46790.59,-98081.41,,,,dqn,retraso
vecinos,42,164,206,5.00e-04,30.4,4350,9.03,24.57,11.32,30,-8694.0,-1.288,-3.354,5728,3992,1720,1.01,4205,292.0,101.5,0,0.0,0,0,3,8,124.62,19.1,19.24,0.688,0.898,0,0.0,0.05,0.00167,-1.2951,920170,921169,,,-96064.79,-45448.92,-96064.79,,,,dqn,retraso
vecinos,42,165,207,5.00e-04,30.5,4350,9.26,24.97,11.49,33,-8861.3,-1.306,-3.376,5780,4070,1690,1.046,4205,292.8,101.8,0,0.0,0,0,4,8,126.2,20.39,20.32,0.788,0.86,0,0.0,0.05,0.00179,-1.2994,925950,926949,,,-97555.29,-46326.9,-97555.29,,,,dqn,retraso
vecinos,42,166,208,5.00e-04,30.8,4350,9.47,25.33,11.76,32,-9047.7,-1.339,-3.426,5733,3990,1727,1.079,4203,293.9,102.1,0,0.0,0,0,4,8,125.65,20.09,20.02,0.764,0.871,0,0.0,0.05,0.00179,-1.3028,931683,932682,,,-98191.96,-47198.76,-98191.96,,,,dqn,retraso
vecinos,42,167,209,5.00e-04,30.5,4350,9.24,25.15,11.52,32,-8804.7,-1.301,-3.409,5684,3843,1822,1.086,4205,294.1,102.1,0,0.0,0,0,4,8,125.46,20.46,20.64,0.819,0.834,0,0.0,0.05,0.0016,-1.3041,937367,938366,,,-96890.47,-46158.64,-96890.47,,,,dqn,retraso
vecinos,42,168,210,5.00e-04,30.7,4350,9.03,24.83,11.25,31,-8689.7,-1.281,-3.337,5738,3952,1764,1.05,4202,293.2,101.9,0,0.0,0,0,4,8,125.46,19.91,20.25,0.742,0.876,0,0.0,0.05,0.00175,-1.2948,943105,944104,,,-95726.38,-45322.6,-95726.38,,,,dqn,retraso
vecinos,42,169,211,5.00e-04,31.1,4350,9.33,25.37,11.57,32,-8945.2,-1.32,-3.433,5721,3927,1775,1.092,4204,294.5,102.3,0,0.0,0,0,3,8,125.76,20.46,20.71,0.812,0.858,0,0.0,0.05,0.00182,-1.2924,948826,949825,,,-98195.11,-46489.14,-98195.11,,,,dqn,retraso
vecinos,42,170,212,5.00e-04,30.4,4350,9.08,25.06,11.35,31,-8695.1,-1.286,-3.419,5681,3858,1807,1.089,4201,294.0,102.1,0,0.0,0,0,4,8,125.62,20.12,19.97,0.772,0.861,0,0.0,0.05,0.00182,-1.292,954507,955506,23.03,8.14,-97119.0,-45365.0,-97119.0,23.03,23.38,23.205,dqn,retraso
vecinos,42,171,213,5.00e-04,30.5,4350,9.03,25.01,11.33,33,-8590.4,-1.278,-3.414,5651,3823,1809,1.084,4201,294.0,102.1,0,0.0,0,0,3,8,125.99,20.36,19.97,0.808,0.86,0,0.0,0.05,0.00197,-1.2889,960158,961157,,,-96455.31,-45074.76,-96455.31,,,,dqn,retraso
