variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,epsilon,perdida_q,q_medio,actualizaciones,transiciones,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val_1999,val,algoritmo,recompensa_tipo
vecinos,4042,27,4069,5.00e-04,11.3,2152,10.66,28.16,5.82,26,-4743.9,-2.089,-4.941,1897,1260,631,1.014,2092,268.4,92.2,0,0.0,0,0,6,11,172.0,40.02,41.4,1.452,0.531,0,0.0,0.753,0.00297,-1.4016,50002,51001,,,-46860.93,-23744.93,-46860.93,,,,dqn,retraso
vecinos,4042,28,4070,5.00e-04,11.3,2152,10.72,28.4,5.61,27,-4562.4,-1.988,-4.841,1905,1243,656,1.048,2089,269.2,92.5,0,0.0,0,0,9,13,171.49,39.54,41.45,1.457,0.522,0,0.0,0.7435,0.00295,-1.4164,51907,52906,,,-46113.36,-23027.82,-46113.36,,,,dqn,retraso
vecinos,4042,29,4071,5.00e-04,11.3,2152,9.31,26.46,5.15,26,-4117.5,-1.828,-4.617,1871,1225,641,0.959,2091,265.0,91.0,0,0.0,0,0,5,10,168.48,36.62,38.6,1.319,0.584,0,0.0,0.734,0.00276,-1.4218,53778,54777,,,-43191.68,-20671.68,-43191.68,,,,dqn,retraso
vecinos,4042,30,4072,5.00e-04,11.1,2152,10.27,27.92,5.48,26,-4408.6,-1.946,-4.828,1880,1226,648,1.043,2083,268.0,92.1,0,0.0,0,0,6,10,170.51,38.82,41.53,1.443,0.523,0,0.0,0.7245,0.00292,-1.429,55658,56657,21.37,7.02,-45380.03,-22192.3,-45380.03,21.37,21.82,21.595,dqn,retraso
vecinos,4042,31,4073,5.00e-04,11.2,2152,8.99,26.21,5.03,25,-4030.9,-1.775,-4.586,1880,1218,656,0.973,2089,265.0,91.0,0,0.0,0,0,7,10,167.89,36.12,38.21,1.334,0.6,0,0.0,0.715,0.00303,-1.4201,57538,58537,,,-43106.23,-20329.17,-43106.23,,,,dqn,retraso
vecinos,4042,32,4074,5.00e-04,11.2,2152,9.19,26.57,5.17,25,-4153.0,-1.836,-4.607,1887,1252,630,0.983,2087,266.1,91.4,0,0.0,0,0,7,11,168.67,37.24,38.58,1.396,0.57,0,0.0,0.7055,0.00284,-1.4255,59425,60424,,,-43463.96,-20869.17,-43463.96,,,,dqn,retraso
vecinos,4042,33,4075,5.00e-04,11.1,2152,9.3,26.6,5.05,25,-4087.6,-1.783,-4.55,1898,1234,659,1.007,2090,266.3,91.4,0,0.0,0,0,6,11,168.62,36.77,38.95,1.386,0.55,0,0.0,0.696,0.00306,-1.4339,61323,62322,,,-43180.87,-20539.19,-43180.87,,,,dqn,retraso
vecinos,4042,34,4076,5.00e-04,11.1,2152,8.92,25.8,4.87,24,-3852.3,-1.708,-4.454,1866,1206,655,0.948,2087,263.8,90.6,0,0.0,0,0,6,10,166.5,34.88,36.3,1.267,0.641,0,0.0,0.6865,0.00294,-1.4369,63189,64188,,,-41553.01,-19518.13,-41553.01,,,,dqn,retraso
vecinos,4042,35,4077,5.00e-04,11.2,2152,9.7,26.94,5.05,21,-4027.5,-1.781,-4.596,1866,1196,663,0.996,2095,266.5,91.5,0,0.0,0,0,7,10,167.93,36.07,38.01,1.324,0.58,0,0.0,0.677,0.00289,-1.4423,65055,66054,,,-42879.66,-20285.85,-42879.66,,,,dqn,retraso
vecinos,4042,36,4078,5.00e-04,11.2,2152,9.65,26.77,5.14,34,-4132.8,-1.827,-4.594,1878,1227,645,0.98,2090,265.8,91.4,0,0.0,0,0,6,10,168.46,36.63,38.09,1.338,0.578,0,0.0,0.6675,0.00297,-1.4359,66933,67932,,,-43135.76,-20652.25,-43135.76,,,,dqn,retraso
vecinos,4042,37,4079,5.00e-04,11.2,2152,9.43,26.49,5.04,23,-4075.8,-1.781,-4.526,1894,1226,662,0.98,2082,265.2,91.1,0,0.0,0,0,7,10,168.27,36.61,38.1,1.359,0.575,0,0.0,0.658,0.00285,-1.4351,68827,69826,,,-42857.58,-20540.43,-42857.58,,,,dqn,retraso
vecinos,4042,38,4080,5.00e-04,11.2,2152,8.9,25.76,4.82,19,-3860.6,-1.707,-4.423,1867,1199,663,0.953,2093,263.8,90.6,0,0.0,0,0,6,10,165.75,34.35,36.03,1.244,0.62,0,0.0,0.6485,0.00297,-1.4436,70694,71693,,,-41287.77,-19407.32,-41287.77,,,,dqn,retraso
vecinos,4042,39,4081,5.00e-04,11.6,2152,8.87,25.78,4.63,23,-3769.5,-1.638,-4.302,1901,1225,671,0.961,2089,264.1,90.7,0,0.0,0,0,6,10,166.11,34.41,35.44,1.272,0.627,0,0.0,0.639,0.00306,-1.4583,72595,73594,,,-40887.9,-18874.72,-40887.9,,,,dqn,retraso
vecinos,4042,40,4082,5.00e-04,11.3,2152,9.59,26.67,5.0,24,-4031.9,-1.775,-4.511,1886,1231,649,0.983,2093,265.4,91.2,0,0.0,0,0,5,10,167.6,35.62,37.14,1.3,0.604,0,0.0,0.6295,0.00288,-1.4659,74481,75480,21.91,6.99,-42540.51,-20248.54,-42540.51,21.91,22.85,22.38,dqn,retraso
vecinos,4042,41,4083,5.00e-04,11.3,2152,8.82,25.47,4.61,19,-3679.1,-1.624,-4.243,1883,1233,644,0.913,2095,262.6,90.3,0,0.0,0,0,6,10,165.39,34.06,35.55,1.224,0.647,0,0.0,0.62,0.00272,-1.4819,76364,77363,,,-39948.03,-18542.74,-39948.03,,,,dqn,retraso
vecinos,4042,42,4084,5.00e-04,11.0,2152,8.62,25.72,4.64,22,-3691.4,-1.63,-4.394,1866,1191,669,0.948,2089,264.3,90.7,0,0.0,0,0,7,10,167.19,35.05,36.59,1.268,0.63,0,0.0,0.6105,0.00293,-1.482,78230,79229,,,-40991.56,-18617.55,-40991.56,,,,dqn,retraso
vecinos,4042,43,4085,5.00e-04,11.2,2152,8.81,25.53,4.86,22,-3887.7,-1.721,-4.367,1875,1226,644,0.934,2094,262.9,90.4,0,0.0,0,0,5,10,165.76,33.84,34.98,1.214,0.657,0,0.0,0.601,0.00278,-1.4942,80105,81104,,,-40935.98,-19529.47,-40935.98,,,,dqn,retraso
vecinos,4042,44,4086,5.00e-04,11.0,2152,9.01,25.78,4.82,23,-3837.0,-1.701,-4.367,1881,1244,632,0.934,2094,263.6,90.6,0,0.0,0,0,6,10,165.81,34.08,35.29,1.218,0.651,0,0.0,0.5915,0.00282,-1.4905,81986,82985,,,-41069.88,-19370.62,-41069.88,,,,dqn,retraso
