variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,epsilon,perdida_q,q_medio,actualizaciones,transiciones,eval_timeloss,eval_espera,ret_retraso,ret_colas,ret_spill,val_999,val,algoritmo,recompensa_tipo
vecinos,42,49,91,5.00e-04,6.3,1844,4.11,15.48,2.56,11,-1950.7,-2.654,-8.51,614,409,204,0.518,1807,180.3,61.7,0,0.0,0,0,0,0,,,,,,0,0.0,0.05,0.01201,-2.9022,29947,30946,,,-26126.96,-9909.21,-26126.96,,,dqn,retraso
vecinos,42,50,92,5.00e-04,6.6,1844,4.74,15.57,2.87,13,-2283.6,-3.098,-8.309,650,491,147,0.413,1804,178.6,61.3,0,0.0,0,0,0,0,,,,,,0,0.0,0.05,0.0127,-2.9462,30597,31596,15.01,4.28,-27002.65,-11591.75,-27002.65,15.01,15.01,dqn,retraso
vecinos,42,51,93,5.00e-04,6.2,1844,4.64,15.33,2.83,12,-2247.1,-3.057,-8.239,645,486,151,0.42,1808,177.9,61.1,0,0.0,0,0,0,0,,,,,,0,0.0,0.05,0.01239,-2.9611,31242,32241,,,-26572.11,-11339.02,-26572.11,,,dqn,retraso
vecinos,42,52,94,5.00e-04,6.8,1844,4.03,15.43,2.52,12,-1916.8,-2.604,-8.478,615,410,203,0.494,1809,180.0,61.6,0,0.0,0,0,0,0,,,,,,0,0.0,0.05,0.01264,-3.0062,31857,32856,,,-26068.58,-9776.98,-26068.58,,,dqn,retraso
vecinos,42,53,95,5.00e-04,6.9,1844,4.64,15.75,2.82,12,-2218.0,-3.005,-8.544,637,460,171,0.47,1809,179.4,61.5,0,0.0,0,0,0,0,,,,,,0,0.0,0.05,0.01244,-3.0275,32494,33493,,,-27212.72,-11205.3,-27212.72,,,dqn,retraso
vecinos,42,54,96,5.00e-04,6.2,1844,4.51,15.48,2.76,11,-2155.5,-2.925,-8.313,639,471,165,0.457,1804,179.4,61.5,0,0.0,0,0,0,0,,,,,,0,0.0,0.05,0.01255,-3.008,33133,34132,,,-26561.42,-10883.85,-26561.42,,,dqn,retraso
vecinos,42,55,97,5.00e-04,6.1,1844,4.72,15.64,2.88,12,-2264.0,-3.089,-8.432,641,474,155,0.434,1810,179.1,61.4,0,0.0,0,0,0,0,,,,,,0,0.0,0.05,0.01227,-3.0548,33774,34773,,,-27024.27,-11478.6,-27024.27,,,dqn,retraso
vecinos,42,56,98,5.00e-04,6.0,1844,4.93,15.75,2.94,12,-2388.2,-3.219,-8.29,659,503,141,0.401,1805,179.0,61.5,0,0.0,0,0,0,0,,,,,,0,0.0,0.05,0.01214,-3.0669,34433,35432,,,-27314.98,-12059.34,-27314.98,,,dqn,retraso
vecinos,42,57,99,5.00e-04,5.5,1844,4.78,15.31,2.89,10,-2310.8,-3.14,-8.181,651,497,143,0.406,1808,177.7,61.1,0,0.0,0,0,0,0,,,,,,0,0.0,0.05,0.01203,-3.0708,35084,36083,,,-26630.41,-11739.11,-26630.41,,,dqn,retraso
vecinos,42,58,100,5.00e-04,5.7,1844,4.41,15.39,2.71,12,-2143.2,-2.92,-8.175,642,481,155,0.424,1806,178.6,61.3,0,0.0,0,0,0,0,,,,,,0,0.0,0.05,0.01227,-3.0794,35726,36725,,,-26242.83,-10815.91,-26242.83,,,dqn,retraso
vecinos,42,59,101,5.00e-04,6.2,1844,4.31,15.08,2.65,11,-2082.0,-2.817,-8.028,645,482,159,0.435,1807,178.3,61.2,0,0.0,0,0,0,0,,,,,,0,0.0,0.05,0.01206,-3.0835,36371,37370,,,-25889.17,-10536.63,-25889.17,,,dqn,retraso
vecinos,42,60,102,5.00e-04,5.8,1844,4.74,15.53,2.87,12,-2292.5,-3.111,-8.227,653,507,141,0.386,1808,178.2,61.2,0,0.0,0,0,0,0,,,,,,0,0.0,0.05,0.01174,-3.0771,37024,38023,15.07,3.92,-26860.13,-11601.56,-26860.13,15.07,15.07,dqn,retraso
