modo,episodio,semilla,epsilon,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,decisiones,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,estados_q,dq_max,eval_timeloss,eval_espera
train,62,104,0.083,1884,15.1,27.08,7.48,24,-4593.2,-7.825,587,249,0.893,1843,198.8,68.9,385,6.6555,,
train,63,105,0.08,1884,14.16,25.64,6.77,22,-4361.0,-7.091,615,239,0.84,1842,196.0,68.0,385,4.9988,,
train,64,106,0.076,1884,16.18,28.41,7.84,28,-4885.4,-8.197,596,255,0.928,1843,201.1,69.8,386,7.1107,,
train,65,107,0.073,1884,16.66,29.27,7.81,25,-5032.9,-8.131,619,271,0.972,1840,202.9,70.4,386,5.9068,25.53,14.24
train,66,108,0.07,1884,15.29,27.31,7.49,27,-4644.7,-7.767,598,245,0.897,1842,199.1,69.0,386,6.1312,,
train,67,109,0.068,1884,15.15,27.22,7.43,28,-4583.2,-7.703,595,245,0.897,1842,198.9,69.0,387,5.803,,
train,68,110,0.065,1884,15.27,27.21,7.42,25,-4569.1,-7.718,592,247,0.895,1840,199.2,69.1,387,4.9764,,
train,69,111,0.062,1884,15.81,27.89,7.72,26,-4829.7,-8.063,599,241,0.915,1845,200.1,69.4,387,7.1889,,
train,70,112,0.06,1884,14.92,26.78,7.26,24,-4498.7,-7.548,596,235,0.886,1843,198.2,68.7,387,5.9345,25.75,14.05
train,71,113,0.057,1884,15.03,26.98,7.38,25,-4470.8,-7.655,584,255,0.906,1828,198.8,68.9,387,5.3636,,
train,72,114,0.055,1884,16.0,28.52,7.85,32,-4786.9,-8.1,591,246,0.947,1846,201.1,69.8,387,7.1954,,
train,73,115,0.053,1884,14.08,25.51,6.86,20,-4251.2,-7.074,601,226,0.836,1844,196.1,68.0,387,4.7692,,
train,74,116,0.051,1884,15.66,27.81,7.68,26,-4760.3,-7.96,598,242,0.906,1845,200.0,69.4,387,6.8907,,
train,75,117,0.05,1884,13.57,24.92,6.57,20,-4098.7,-6.786,604,239,0.827,1844,194.9,67.6,387,4.9136,32.87,19.23
train,76,118,0.05,1884,15.62,27.85,7.69,28,-4687.0,-8.053,582,257,0.916,1840,200.1,69.4,387,4.3638,,
train,77,119,0.05,1884,16.4,28.85,8.07,30,-5012.8,-8.468,592,248,0.945,1844,201.6,70.0,387,5.5817,,
train,78,120,0.05,1884,15.5,27.51,7.63,29,-4690.2,-7.976,588,254,0.91,1843,199.5,69.2,387,5.5267,,
train,79,121,0.05,1884,14.9,26.71,7.34,24,-4582.7,-7.702,595,239,0.869,1844,197.9,68.6,387,4.4739,,
train,80,122,0.05,1884,16.4,28.91,8.1,30,-4926.9,-8.422,585,254,0.961,1838,202.2,70.1,387,7.2508,30.52,17.48
train,81,123,0.05,1884,15.32,27.44,7.45,25,-4587.6,-7.723,594,253,0.897,1844,199.5,69.2,387,5.3885,,
train,82,124,0.05,1884,16.04,28.37,7.81,27,-4839.9,-8.162,593,251,0.947,1842,200.9,69.7,387,6.4358,,
