brazo,semilla,timeloss_prom,espera_prom,cola_prom,cola_max,paradas_prom,throughput,co2_prom,nox_prom,recompensa_decision,cambios_fase,no_terminados,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace
ippo_vecinos_s42,1007,124.6,66.91,45.72,126,3.624,2927,388.9,137.1,-26.93,301,0,254.55,171.6,189.79,5.106,0.26,0.0,2,1,34,37
ippo_vecinos_s42,1008,120.5,61.17,42.43,117,3.88,2950,383.2,134.7,-23.834,299,0,259.41,176.39,189.45,5.853,0.23,0.0,0,0,26,37
ippo_vecinos_s42,1009,121.89,63.62,43.79,113,3.683,2942,384.9,135.3,-24.771,302,0,260.75,177.73,193.19,5.458,0.222,0.0,0,0,29,37
ippo_vecinos_s42,1010,117.48,60.88,42.34,103,3.588,2942,378.6,133.0,-23.898,297,0,255.67,172.9,188.52,5.361,0.241,0.0,7,1,35,37
ippo_vecinos_s2042,1001,121.05,63.23,43.46,137,3.641,2925,382.9,134.9,-24.972,277,0,257.01,174.17,188.18,5.332,0.231,0.0,0,0,31,37
ippo_vecinos_s2042,1002,122.96,66.65,45.48,134,3.612,2903,387.1,136.6,-26.117,276,0,258.58,175.77,192.56,5.232,0.234,0.0,0,0,31,37
ippo_vecinos_s2042,1003,119.03,62.82,43.1,136,3.493,2928,380.4,133.9,-24.68,279,0,253.91,171.01,187.16,5.152,0.247,0.0,0,0,32,37
ippo_vecinos_s2042,1004,120.63,62.39,42.6,133,3.609,2924,382.0,134.5,-24.385,277,0,261.04,178.07,191.09,5.462,0.228,0.0,0,0,28,38
ippo_vecinos_s2042,1005,125.56,66.06,44.51,135,3.779,2898,390.0,137.6,-25.503,280,0,261.27,178.19,193.13,5.42,0.243,0.0,0,0,32,38
ippo_vecinos_s2042,1006,121.93,67.29,46.11,133,3.446,2916,385.9,136.1,-26.615,279,0,256.91,174.11,190.5,4.954,0.21,0.0,0,0,30,37
ippo_vecinos_s2042,1007,119.43,64.87,44.65,157,3.573,2929,381.6,134.6,-25.559,275,0,254.3,171.35,185.91,5.265,0.241,0.0,0,0,32,38
ippo_vecinos_s2042,1008,118.75,63.25,43.11,130,3.494,2914,380.3,134.0,-24.642,278,0,255.74,172.72,188.27,5.121,0.276,0.0,0,0,31,37
ippo_vecinos_s2042,1009,120.77,65.58,45.02,122,3.431,2919,383.1,135.1,-26.561,275,0,258.12,175.09,190.04,5.094,0.228,0.0,0,0,32,37
ippo_vecinos_s2042,1010,123.23,65.83,44.61,130,3.689,2921,386.1,136.3,-25.613,280,0,255.02,172.24,186.18,5.343,0.264,0.0,0,0,32,37
ippo_vecinos_s4042,1001,121.7,61.97,42.12,140,3.818,2917,383.1,135.0,-23.839,293,0,257.87,175.03,188.87,5.629,0.265,0.0,0,0,31,37
ippo_vecinos_s4042,1002,120.38,63.73,43.67,129,3.632,2920,382.2,134.8,-24.787,294,0,253.7,170.9,188.52,5.258,0.291,0.0,0,0,33,37
ippo_vecinos_s4042,1003,116.66,59.11,40.26,121,3.661,2921,376.2,132.3,-22.748,297,0,252.1,169.19,184.75,5.434,0.294,0.0,0,0,32,37
ippo_vecinos_s4042,1004,117.48,60.29,40.93,112,3.706,2909,377.0,132.8,-23.091,303,0,255.62,172.67,189.23,5.542,0.284,0.0,0,0,33,37
ippo_vecinos_s4042,1005,120.89,60.32,41.14,125,3.717,2920,382.1,134.4,-23.468,295,0,259.85,176.78,190.87,5.567,0.254,0.0,0,0,31,37
ippo_vecinos_s4042,1006,122.48,62.43,42.34,121,3.828,2913,384.4,135.6,-24.05,297,0,262.39,179.59,193.25,5.752,0.268,0.0,0,0,29,38
ippo_vecinos_s4042,1007,122.09,61.82,41.83,135,3.707,2911,382.7,134.9,-23.87,297,0,261.02,178.07,191.52,5.55,0.275,0.0,0,0,30,37
ippo_vecinos_s4042,1008,116.4,59.2,40.3,119,3.632,2911,375.0,132.0,-22.726,304,0,254.8,171.76,188.78,5.467,0.286,0.0,0,0,30,37
ippo_vecinos_s4042,1009,116.04,58.71,40.14,118,3.634,2922,374.7,131.7,-22.593,301,0,252.44,169.41,186.63,5.406,0.295,0.0,0,0,32,37
ippo_vecinos_s4042,1010,119.11,61.19,41.75,122,3.676,2914,379.9,133.8,-23.58,303,0,256.07,173.29,188.57,5.425,0.258,0.0,0,0,31,37
ippo_spill_s42,1001,122.31,65.52,44.22,131,3.739,2906,386.2,136.4,-25.388,293,0,255.38,172.55,191.35,5.388,0.28,0.0,9,3,37,37
ippo_spill_s42,1002,116.08,60.53,42.03,119,3.519,2945,376.1,132.3,-23.917,289,0,252.85,170.04,183.7,5.267,0.23,0.0,0,0,30,37
ippo_spill_s42,1003,116.42,60.01,41.53,120,3.55,2939,377.2,132.4,-23.504,297,0,258.35,175.44,190.61,5.417,0.216,0.0,0,0,29,37
ippo_spill_s42,1004,122.21,67.33,45.82,123,3.56,2921,386.6,136.4,-26.378,299,0,261.7,178.74,197.25,5.281,0.235,0.0,0,0,31,37
ippo_spill_s42,1005,119.97,64.39,44.31,129,3.514,2924,381.7,134.5,-26.232,295,0,255.85,172.79,191.08,5.224,0.234,0.0,0,0,32,37
ippo_spill_s42,1006,120.53,65.04,44.54,137,3.583,2930,383.4,135.2,-25.734,298,0,252.56,169.76,188.62,5.071,0.272,0.0,12,1,37,37
ippo_spill_s42,1007,119.78,61.8,42.04,126,3.721,2929,381.4,134.3,-23.896,298,0,259.43,176.49,193.32,5.64,0.247,0.0,0,0,31,37
ippo_spill_s42,1008,122.71,67.47,45.48,132,3.698,2891,387.9,137.1,-26.159,296,0,257.0,173.97,193.63,5.343,0.268,0.0022,8,1,36,38
ippo_spill_s42,1009,120.68,65.01,44.96,122,3.555,2941,384.1,135.2,-25.79,289,0,253.89,170.87,189.16,5.072,0.208,0.0,0,0,32,37
ippo_spill_s42,1010,123.23,66.43,44.99,115,3.732,2910,387.8,136.7,-25.817,297,0,257.77,175.01,194.66,5.382,0.238,0.0,0,0,31,38
ippo_spill_s2042,1001,117.22,61.58,42.19,136,3.525,2936,377.3,132.9,-24.071,289,0,247.66,164.81,179.36,5.085,0.286,0.0,0,0,33,37
ippo_spill_s2042,1002,115.38,58.56,40.98,103,3.607,2951,375.3,131.9,-23.116,288,0,252.05,169.24,180.02,5.414,0.243,0.0,0,0,30,37
ippo_spill_s2042,1003,121.38,63.39,43.85,145,3.802,2930,384.3,135.4,-25.029,286,0,252.75,169.84,182.37,5.511,0.258,0.0,0,0,30,38
ippo_spill_s2042,1004,118.95,62.36,43.07,140,3.588,2945,380.1,133.9,-24.676,283,0,248.97,166.01,180.18,5.112,0.282,0.0,0,0,32,37
ippo_spill_s2042,1005,117.64,59.77,41.42,123,3.679,2932,378.3,133.1,-23.44,293,0,251.02,167.96,181.36,5.405,0.249,0.0,0,0,30,37
ippo_spill_s2042,1006,114.74,59.02,41.28,118,3.677,2963,374.7,131.8,-23.304,288,0,245.85,163.05,173.86,5.388,0.264,0.0,0,0,32,37
ippo_spill_s2042,1007,119.15,62.1,42.27,132,3.689,2923,380.0,133.9,-23.956,297,0,254.13,171.18,183.99,5.455,0.268,0.0,0,0,30,37
ippo_spill_s2042,1008,118.95,62.82,43.05,133,3.649,2919,380.4,134.2,-24.56,293,0,249.7,166.67,180.91,5.225,0.287,0.0,0,0,32,37
ippo_spill_s2042,1009,120.65,63.32,43.44,136,3.687,2927,382.9,134.9,-24.798,289,0,253.9,170.87,184.04,5.379,0.248,0.0,4,2,34,37
ippo_spill_s2042,1010,120.87,63.34,43.2,118,3.738,2929,382.9,135.0,-24.615,293,0,254.8,172.03,183.69,5.453,0.269,0.0,0,0,32,37
ippo_spill_s4042,1001,123.51,63.59,43.42,139,3.751,2909,387.2,136.3,-24.971,303,0,255.76,172.91,192.57,5.422,0.253,0.0,0,0,32,38
ippo_spill_s4042,1002,122.1,62.51,43.02,134,3.776,2930,384.4,135.2,-24.276,303,0,260.26,177.46,194.45,5.575,0.237,0.0,0,0,29,37
ippo_spill_s4042,1003,119.6,61.32,42.01,113,3.71,2921,381.4,134.2,-23.665,305,0,256.87,173.97,193.13,5.497,0.253,0.0,0,0,33,37
ippo_spill_s4042,1004,130.51,71.36,47.81,158,3.81,2874,397.5,140.7,-28.066,292,0,257.32,174.35,194.91,5.26,0.28,0.0,0,0,33,38
ippo_spill_s4042,1005,122.94,63.63,43.62,134,3.739,2915,385.8,135.8,-24.816,301,0,259.6,176.54,196.63,5.429,0.237,0.0,0,0,32,37
ippo_spill_s4042,1006,122.32,62.93,42.83,132,3.784,2913,384.4,135.5,-24.365,309,0,255.47,172.67,188.68,5.469,0.268,0.0,0,0,31,37
ippo_spill_s4042,1007,121.72,61.13,41.72,123,3.805,2918,383.2,134.7,-23.591,297,0,259.02,176.06,192.97,5.643,0.249,0.0,0,0,30,37
ippo_spill_s4042,1008,122.43,64.22,43.47,136,3.778,2911,385.6,135.8,-24.682,311,0,258.95,175.93,196.48,5.475,0.254,0.0,2,1,34,38
ippo_spill_s4042,1009,121.13,63.99,43.76,138,3.726,2921,384.4,135.4,-25.027,304,0,255.86,172.83,192.46,5.444,0.247,0.0,0,0,32,37
ippo_spill_s4042,1010,121.54,64.37,44.02,124,3.744,2931,385.4,135.7,-24.911,303,0,262.33,179.56,194.86,5.55,0.194,0.0,0,0,33,37
