verde,izquierda,verde_transversal,offsets,timeloss_prom,espera_prom,paradas_prom,throughput,co2_prom,timeloss_sd,semillas
15,,20,0/10/10,35.12,14.83,1.39,2085.67,285.37,0.26,2001-2003
25,,20,0/10/20,35.12,15.75,1.27,2087.0,281.57,0.21,2001-2003
20,,20,0/35/35,35.35,15.97,1.34,2084.33,283.2,0.2,2001-2003
20,,15,0/40/39,35.6,15.04,1.51,2085.67,286.6,0.28,2001-2003
20,,15,0/0/0,35.66,15.09,1.51,2084.67,286.73,0.12,2001-2003
20,,15,0/40/40,35.68,15.09,1.5,2084.67,286.7,0.29,2001-2003
25,,20,0/40/40,35.75,16.89,1.26,2086.0,282.13,0.07,2001-2003
25,,20,0/5/0,35.77,16.06,1.29,2086.33,283.43,0.11,2001-2003
20,,15,0/40/0,35.78,15.25,1.5,2084.0,286.83,0.23,2001-2003
25,,20,0/10/10,36.06,16.29,1.3,2085.0,283.53,0.18,2001-2003
20,,20,0/10/10,36.27,16.14,1.41,2082.0,286.13,0.24,2001-2003
25,,15,0/0/0,36.27,16.43,1.36,2086.67,285.0,0.4,2001-2003
15,,20,0/35/29,36.43,15.69,1.52,2081.0,287.97,0.14,2001-2003
15,,20,0/5/0,36.45,15.78,1.53,2083.0,288.03,0.34,2001-2003
15,,20,0/0/0,36.48,15.76,1.54,2084.0,287.97,0.34,2001-2003
30,,20,0/10/20,36.51,17.26,1.23,2082.33,282.67,0.22,2001-2003
15,,20,0/40/40,36.52,15.8,1.54,2084.0,288.13,0.22,2001-2003
30,,20,0/5/10,36.54,17.42,1.24,2084.33,282.57,0.12,2001-2003
15,,20,0/40/39,36.57,15.77,1.55,2084.67,288.33,0.33,2001-2003
15,,20,0/40/0,36.65,15.9,1.54,2083.33,288.2,0.34,2001-2003
15,,20,0/5/10,36.66,16.07,1.51,2085.67,288.23,0.21,2001-2003
15,,20,0/35/0,36.69,16.03,1.5,2083.33,288.07,0.31,2001-2003
15,,20,0/35/35,36.71,15.89,1.54,2083.67,288.23,0.44,2001-2003
15,,20,0/5/5,36.72,15.99,1.54,2083.67,288.3,0.29,2001-2003
20,,20,0/40/34,37.55,17.12,1.45,2082.33,287.97,0.09,2001-2003
20,,20,0/40/0,37.59,17.67,1.41,2085.67,287.43,0.27,2001-2003
25,,20,0/5/10,38.25,18.24,1.37,2084.67,287.7,0.35,2001-2003
20,,20,0/5/0,38.69,18.04,1.45,2083.33,290.3,0.17,2001-2003
25,,20,0/5/5,39.2,18.85,1.39,2084.0,289.77,0.08,2001-2003
20,,20,0/40/40,39.34,19.0,1.49,2082.67,291.07,0.34,2001-2003
20,,20,0/5/10,39.59,18.86,1.48,2082.0,292.1,0.14,2001-2003
20,,20,0/5/5,40.31,19.43,1.51,2083.67,293.7,0.11,2001-2003
20,,20,0/0/0,41.5,20.4,1.56,2083.33,295.83,0.09,2001-2003
25,,20,0/0/0,42.32,21.63,1.46,2080.0,295.17,0.52,2001-2003
